210,61587,AD4,Discussion/Recitation,"Damon, L;Nyanzu, F",ENVS,Environmental Studies,2023,Fall 2023
421,58126,AD2,Lecture-Discussion,"Gregg, C",AGED,Agricultural Education,2023,Fall 2023
101,67133,B25,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
101,67775,A  ,Online,"Bustos, B;Dutton, M;Yarrington, K",SPAN,Spanish,2023,Fall 2023
101,40178,E  ,Lecture-Discussion,"Davies Brenier, L;Ponomareva, D",RUSS,Russian,2023,Fall 2023
104,62777,A  ,Laboratory,"Brandano, J",DANC,Dance,2023,Fall 2023
110,54117,B  ,Online,"Labarbera-Twarog, E",LER,Labor and Employment Relations,2023,Fall 2023
102,76263,D1 ,Discussion/Recitation,"Kent, A",NRES,Natural Resources and Environmental Sciences,2023,Fall 2023
100,39365,AD3,Discussion/Recitation,"Griffin, C",PS,Political Science,2023,Fall 2023
210,72986,CD5,Discussion/Recitation,"Larson, E",BADM,Business Administration,2023,Fall 2023
510,73048,A  ,Lecture-Discussion,"Talbott, K",HT,Health Technology,2023,Fall 2023
401,30476,U  ,Lecture-Discussion,"Tzanetou, A",GRK,Greek,2023,Fall 2023
260,54352,A  ,Laboratory-Discussion,"Bright, L",AAS,Asian American Studies,2023,Fall 2023
100,60478,B  ,Online,"Warnement, S",CLCV,Classical Civilization,2023,Fall 2023
101,31068,A  ,Lecture-Discussion,"Davies Brenier, L;Naumovska, T",UKR,Ukrainian,2023,Fall 2023
101,67134,B26,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
221,37405,AD8,Discussion/Recitation,"Kathiresan, P;Raskie, S",FIN,Finance,2023,Fall 2023
101,32726,F  ,Lecture-Discussion,"Davies Brenier, L;Ponomareva, D",RUSS,Russian,2023,Fall 2023
210,61592,AD5,Discussion/Recitation,"Damon, L;Schaefer, J",ENVS,Environmental Studies,2023,Fall 2023
101,67777,B  ,Online,"Dutton, M;Gonzalez Quiroga, S;Yarrington, K",SPAN,Spanish,2023,Fall 2023
100,39366,AD4,Discussion/Recitation,"Griffin, C",PS,Political Science,2023,Fall 2023
210,72987,CD6,Discussion/Recitation,"Larson, E",BADM,Business Administration,2023,Fall 2023
230,62368,CLD,Lecture-Discussion,"Weightman, D",ARTD,Art--Design,2023,Fall 2023
599,10005,,Independent Study,,MICR,Microbiology,2023,Fall 2023
102,76264,D2 ,Discussion/Recitation,"Kent, A",NRES,Natural Resources and Environmental Sciences,2023,Fall 2023
495,72610,,Independent Study,"Maggid Alon, L",JS,Jewish Studies,2023,Fall 2023
101,51464,B27,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
221,37411,AD9,Discussion/Recitation,"Quiroz, J;Raskie, S",FIN,Finance,2023,Fall 2023
496,74017,A  ,Online,"Leman, A",AGED,Agricultural Education,2023,Fall 2023
116,76964,C  ,Laboratory,"Marini, N",DANC,Dance,2023,Fall 2023
210,61597,AD6,Discussion/Recitation,"Damon, L;Schaefer, J",ENVS,Environmental Studies,2023,Fall 2023
100,39367,AD5,Discussion/Recitation,"Mullins, S",PS,Political Science,2023,Fall 2023
210,71353,CL ,Lecture,"Larson, E",BADM,Business Administration,2023,Fall 2023
101,78670,C  ,Online,"Dutton, M;Trybulec, E;Yarrington, K",SPAN,Spanish,2023,Fall 2023
411,30479,G  ,Lecture-Discussion,"Leon Ruiz, D",GRK,Greek,2023,Fall 2023
102,56636,D3 ,Discussion/Recitation,"Kent, A",NRES,Natural Resources and Environmental Sciences,2023,Fall 2023
120,54744,B  ,Online,"Ashby, S",LER,Labor and Employment Relations,2023,Fall 2023
281,71409,AD1,Discussion/Recitation,"Bozzi Feijo, B;Burgos, A",AAS,Asian American Studies,2023,Fall 2023
102,71429,ON1,Online,"Jennings, E",CLCV,Classical Civilization,2023,Fall 2023
101,74100,B28,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
199,10344,,Independent Study,,RUSS,Russian,2023,Fall 2023
113,31069,B  ,Lecture-Discussion,"Semenova, D;Sobol, V",UKR,Ukrainian,2023,Fall 2023
221,37389,ADB,Discussion/Recitation,"Kathiresan, P;Katyal, S;Raskie, S",FIN,Finance,2023,Fall 2023
100,39368,AD6,Discussion/Recitation,"Mullins, S",PS,Political Science,2023,Fall 2023
116,76967,E  ,Laboratory,"Tecza, A",DANC,Dance,2023,Fall 2023
411,72925,U  ,Lecture-Discussion,"Leon Ruiz, D",GRK,Greek,2023,Fall 2023
110,72475,A  ,Lecture-Discussion,"Awad, M;Hale, J;Lucero, J",HUM,Humanities Courses,2023,Fall 2023
210,61565,AL1,Lecture,"Damon, L",ENVS,Environmental Studies,2023,Fall 2023
251,68924,A  ,Studio,"Strickland, H",ARTD,Art--Design,2023,Fall 2023
102,32865,L1 ,Lecture,"Kent, A",NRES,Natural Resources and Environmental Sciences,2023,Fall 2023
281,71413,AD2,Discussion/Recitation,"Burgos, A;Garcia Rojas, M",AAS,Asian American Studies,2023,Fall 2023
101,74101,B29,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
102,71430,ON2,Online,"Jennings, E",CLCV,Classical Civilization,2023,Fall 2023
221,37399,ADE,Discussion/Recitation,"Quiroz, J;Raskie, S",FIN,Finance,2023,Fall 2023
100,40264,AD7,Discussion/Recitation,"Mullins, S",PS,Political Science,2023,Fall 2023
211,71365,A  ,Lecture-Discussion,"Virudachalam, V",BADM,Business Administration,2023,Fall 2023
116,76992,G  ,Laboratory,"Ayorinde, O",DANC,Dance,2023,Fall 2023
