CourseNum,CRN,Section,SectionType,Professors,DepartmentCode,Department,Year,Semester
303,74686,AD4,Discussion/Recitation,"Pahre, J;Shim, S",LAW,Law,2024,Spring 2024
275,75620,AD5,Discussion/Recitation,"Nguyen, M;Turner, R",AAS,Asian American Studies,2024,Spring 2024
102,34708,H  ,Online,"Hill, L;Ptaszek, N",ITAL,Italian,2024,Spring 2024
201,70073,I  ,Lecture-Discussion,"Kim, H",BUS,Business,2024,Spring 2024
302,50474,T1 ,Studio;Studio,"Sethi, S;Waichal, H;Sethi, S;Waichal, H",ARTD,Art--Design,2024,Spring 2024
590,59680,1  ,Lecture-Discussion,"Maslowska, E",MDIA,Media,2024,Spring 2024
101,74129,ONL,Online,"Butcher, S;Meem, T;Melendez Bernardo, M",GGIS,Geography & Geographic Information Science,2024,Spring 2024
234,74497,AL1,Lecture,"Raveendran Nair, G",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
102,32877,P  ,Laboratory;Lecture-Discussion,"Lee, J;Lee, J",RHET,Rhetoric and Composition,2024,Spring 2024
211,68639,B  ,Lecture-Discussion,"Ahsen, M",BADM,Business Administration,2024,Spring 2024
100,33842,AL1,Lecture,"Koslofsky, C",HIST,History,2024,Spring 2024
116,74248,C  ,Laboratory,"Ayorinde, O",DANC,Dance,2024,Spring 2024
102,47798,C  ,Lecture-Discussion,"Fic, N;Gasyna, G",POL,Polish,2024,Spring 2024
100,60804,2  ,Lecture-Discussion,"Elmeligy, N",SOC,Sociology,2024,Spring 2024
404,31869,MG1,Online,"Durst, S",CI,Curriculum and Instruction,2024,Spring 2024
275,75622,AD6,Discussion/Recitation,"Henningsen, K;Nguyen, M",AAS,Asian American Studies,2024,Spring 2024
303,74687,AD5,Discussion/Recitation,"Pahre, J;Smith, n",LAW,Law,2024,Spring 2024
177,70638,SC2,Lecture-Discussion,"Dougherty, H;Shen, R",ENG,Engineering,2024,Spring 2024
302,50475,T2 ,Studio;Studio,"Raheel, S;Waichal, H;Raheel, S;Waichal, H",ARTD,Art--Design,2024,Spring 2024
102,32891,Q  ,Laboratory;Lecture-Discussion,"Canipe, J;Canipe, J",RHET,Rhetoric and Composition,2024,Spring 2024
211,70075,C  ,Lecture-Discussion,"Moshref Javadi, M",BADM,Business Administration,2024,Spring 2024
590,52982,EDP,Lecture-Discussion,"Long, D",MDIA,Media,2024,Spring 2024
420,74860,A  ,Lecture,"Vlasov, Y",NE,Neural Engineering,2024,Spring 2024
100,52716,B  ,Online,"Liu, L",HIST,History,2024,Spring 2024
410,54212,B  ,Lecture-Discussion,"Ochs, G",AGED,Agricultural Education,2024,Spring 2024
116,74252,D  ,Laboratory,"Owens, N",DANC,Dance,2024,Spring 2024
100,34271,ADA,Discussion/Recitation,"Dill, B;Karipek, Y",SOC,Sociology,2024,Spring 2024
404,31899,MG2,Online,"Gutzmer, C",CI,Curriculum and Instruction,2024,Spring 2024
299,47914,A  ,Conference,"Headtke, J",BUS,Business,2024,Spring 2024
275,75623,AD7,Discussion/Recitation,"Henningsen, K;Nguyen, M",AAS,Asian American Studies,2024,Spring 2024
303,74688,AD6,Discussion/Recitation,"Mohammed, M;Pahre, J",LAW,Law,2024,Spring 2024
204,74130,A  ,Lecture-Discussion,"Butcher, S",GGIS,Geography & Geographic Information Science,2024,Spring 2024
211,70076,D  ,Lecture-Discussion,"Bahrini, A",BADM,Business Administration,2024,Spring 2024
102,32885,S  ,Laboratory;Lecture-Discussion,"Gaffney, K;Gaffney, K",RHET,Rhetoric and Composition,2024,Spring 2024
103,34712,E  ,Lecture-Discussion,"Hill, L",ITAL,Italian,2024,Spring 2024
115,61659,A  ,Lecture-Discussion,"Gasyna, G",POL,Polish,2024,Spring 2024
177,70639,SD2,Lecture-Discussion,"Markazi, D;Rodriguez, L",ENG,Engineering,2024,Spring 2024
302,65222,T3 ,Studio;Studio,"Ma, Y;Shin, S;Ma, Y;Shin, S",ARTD,Art--Design,2024,Spring 2024
420,74862,B  ,Lecture,"Vlasov, Y",NE,Neural Engineering,2024,Spring 2024
262,74499,AB1,Laboratory,"Allen, C",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
116,74655,F  ,Laboratory,"Lim, S",DANC,Dance,2024,Spring 2024
100,34272,ADB,Discussion/Recitation,"Bircan Afsin, S;Dill, B",SOC,Sociology,2024,Spring 2024
404,31897,S  ,Online,"Dean, S",CI,Curriculum and Instruction,2024,Spring 2024
275,75611,AL1,Lecture,"Nguyen, M",AAS,Asian American Studies,2024,Spring 2024
303,74689,AD7,Discussion/Recitation,"Pahre, J;Smith, n",LAW,Law,2024,Spring 2024
211,70077,E  ,Lecture-Discussion,"Ahsen, M",BADM,Business Administration,2024,Spring 2024
177,74463,SI1,Lecture-Discussion,"Faraci, S",ENG,Engineering,2024,Spring 2024
410,54726,G4 ,Lecture-Discussion,"Saeedi, A",TRST,Translation Studies,2024,Spring 2024
103,34713,G  ,Lecture-Discussion,"Derhemi, E;Hill, L",ITAL,Italian,2024,Spring 2024
104,75219,B  ,Online,"Vaughn, T",HIST,History,2024,Spring 2024
599,51950,,Independent Study,,MDIA,Media,2024,Spring 2024
420,52917,A  ,Lecture-Discussion,"Gregg, C",AGED,Agricultural Education,2024,Spring 2024
262,74500,AL1,Online Lecture,"Allen, C",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
116,74658,J  ,Laboratory,"Henss, J",DANC,Dance,2024,Spring 2024
100,34276,ADC,Discussion/Recitation,"Bircan Afsin, S;Dill, B",SOC,Sociology,2024,Spring 2024
301,71727,L  ,Lecture-Discussion,"Kurtz, J",BUS,Business,2024,Spring 2024
404,31898,T  ,Online,"Masters, A",CI,Curriculum and Instruction,2024,Spring 2024
210,74174,ONL,Online,"Alvarado, N;Chyon, S",GGIS,Geography & Geographic Information Science,2024,Spring 2024
211,70080,H  ,Lecture-Discussion,"Ahsen, M",BADM,Business Administration,2024,Spring 2024
105,32913,A1 ,Lecture-Discussion,"Cottingham, M",RHET,Rhetoric and Composition,2024,Spring 2024
199,10180,,Independent Study,,POL,Polish,2024,Spring 2024
303,74690,AD8,Discussion/Recitation,"Mohammed, M;Pahre, J",LAW,Law,2024,Spring 2024
410,65518,OG4,Online,"Saeedi, A",TRST,Translation Studies,2024,Spring 2024
